case:concept:name,concept:name,start:timestamp,time:timestamp,org:resource,case:caseStatus,case:SUMleges,case:last_phase,case:Responsible_actor,case:landRegisterID,case:termName,case:requestComplete,case:IDofConceptCase,case:caseProcedure,case:Includes_subCases
3364103,START,2010-10-03 22:00:00+00:00,2010-10-03 21:59:59.999000+00:00,SYSTEM,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_010,2010-10-03 22:00:00+00:00,2010-10-03 22:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_065_2,2010-10-03 22:00:00+00:00,2010-10-12 22:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,08_AWB45_020_2,2010-10-12 22:00:00+00:00,2010-10-12 22:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_190_2,2010-10-12 22:00:00+00:00,2010-10-12 22:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_030_2,2010-10-12 22:00:00+00:00,2010-10-12 22:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,08_AWB45_070_3,2010-10-12 22:00:00+00:00,2010-12-01 23:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_100,2010-12-01 23:00:00+00:00,2010-12-01 23:00:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_015,2010-12-01 23:00:00+00:00,2010-12-02 12:12:00+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_020,2010-12-02 12:12:00+00:00,2010-12-02 12:12:04+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_030_1,2010-12-02 12:12:04+00:00,2010-12-02 12:12:07+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_040,2010-12-02 12:12:07+00:00,2010-12-02 12:13:46+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_060,2010-12-02 12:13:46+00:00,2010-12-02 12:14:03+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_065_1,2010-12-02 12:14:03+00:00,2010-12-02 12:14:05+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_100,2010-12-02 12:14:05+00:00,2010-12-02 12:14:21+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_110,2010-12-02 12:14:21+00:00,2010-12-02 12:14:26+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_130,2010-12-02 12:14:26+00:00,2010-12-02 12:16:50+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,01_HOOFD_050,2010-12-02 12:16:50+00:00,2010-12-02 12:16:56+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,05_EIND_010,2010-12-02 12:16:56+00:00,2010-12-02 12:17:14+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
3364103,06_VD_010,2010-12-02 12:17:14+00:00,2010-12-02 12:25:33+00:00,560600,G,,Procedure afgebroken,560600,1573293.0,,True,3445895.0,,J
