case:concept:name,concept:name,start:timestamp,time:timestamp,org:resource,AMOUNT_REQ
173688,START,2011-10-01 00:38:44.546000+00:00,2011-10-01 00:38:44.545000+00:00,SYSTEM,20000
173688,A_SUBMITTED,2011-10-01 00:38:44.546000+00:00,2011-10-01 00:38:44.546000+00:00,112,20000
173688,A_PARTLYSUBMITTED,2011-10-01 00:38:44.546000+00:00,2011-10-01 00:38:44.880000+00:00,112,20000
173688,A_PREACCEPTED,2011-10-01 00:38:44.880000+00:00,2011-10-01 00:39:37.906000+00:00,112,20000
173688,A_ACCEPTED,2011-10-01 00:39:37.906000+00:00,2011-10-01 11:42:43.308000+00:00,10862,20000
173688,O_SELECTED,2011-10-01 11:42:43.308000+00:00,2011-10-01 11:45:09.243000+00:00,10862,20000
173688,A_FINALIZED,2011-10-01 11:45:09.243000+00:00,2011-10-01 11:45:09.243000+00:00,10862,20000
173688,O_CREATED,2011-10-01 11:45:09.243000+00:00,2011-10-01 11:45:11.197000+00:00,10862,20000
173688,O_SENT,2011-10-01 11:45:11.197000+00:00,2011-10-01 11:45:11.380000+00:00,10862,20000
173688,W_Complete_application,2011-10-01 11:45:11.380000+00:00,2011-10-01 11:45:13.917000+00:00,0,20000
173688,W_Call_back_offers,2011-10-01 11:45:13.917000+00:00,2011-10-01 12:17:08.924000+00:00,0,20000
173688,W_Call_back_offers,2011-10-01 12:17:08.924000+00:00,2011-10-08 16:32:00.886000+00:00,10913,20000
173688,O_SENT_BACK,2011-10-08 16:32:00.886000+00:00,2011-10-10 11:33:03.668000+00:00,11049,20000
173688,W_Call_back_offers,2011-10-10 11:33:03.668000+00:00,2011-10-10 11:33:05.791000+00:00,11049,20000
173688,A_REGISTERED,2011-10-10 11:33:05.791000+00:00,2011-10-13 10:37:29.226000+00:00,10629,20000
173688,A_APPROVED,2011-10-13 10:37:29.226000+00:00,2011-10-13 10:37:29.226000+00:00,10629,20000
173688,O_ACCEPTED,2011-10-13 10:37:29.226000+00:00,2011-10-13 10:37:29.226000+00:00,10629,20000
173688,A_ACTIVATED,2011-10-13 10:37:29.226000+00:00,2011-10-13 10:37:29.226000+00:00,10629,20000
173688,W_Validate_application,2011-10-13 10:37:29.226000+00:00,2011-10-13 10:37:37.026000+00:00,10629,20000
173688,END,2011-10-13 10:37:29.226000+00:00,2011-10-13 10:37:44.826000+00:00,SYSTEM,20000
173691,START,2011-10-01 08:08:58.256000+00:00,2011-10-01 08:08:58.255000+00:00,SYSTEM,5000
173691,A_SUBMITTED,2011-10-01 08:08:58.256000+00:00,2011-10-01 08:08:58.256000+00:00,112,5000
173691,A_PARTLYSUBMITTED,2011-10-01 08:08:58.256000+00:00,2011-10-01 08:09:02.195000+00:00,112,5000
173691,A_PREACCEPTED,2011-10-01 08:09:02.195000+00:00,2011-10-01 08:09:56.648000+00:00,112,5000
173691,W_Complete_application,2011-10-01 08:09:56.648000+00:00,2011-10-01 11:43:13.178000+00:00,0,5000
173691,A_ACCEPTED,2011-10-01 11:43:13.178000+00:00,2011-10-01 14:33:54.614000+00:00,10862,5000
173691,A_FINALIZED,2011-10-01 14:33:54.614000+00:00,2011-10-01 14:35:46.016000+00:00,10862,5000
173691,O_SELECTED,2011-10-01 14:35:46.016000+00:00,2011-10-01 14:35:46.016000+00:00,10862,5000
173691,O_CREATED,2011-10-01 14:35:46.016000+00:00,2011-10-01 14:35:47.488000+00:00,10862,5000
173691,O_SENT,2011-10-01 14:35:47.488000+00:00,2011-10-01 14:35:47.583000+00:00,10862,5000
173691,W_Complete_application,2011-10-01 14:35:47.583000+00:00,2011-10-01 14:35:48.791000+00:00,0,5000
173691,W_Call_back_offers,2011-10-01 14:35:48.791000+00:00,2011-10-01 14:36:25.794000+00:00,0,5000
173691,O_SELECTED,2011-10-01 14:36:25.794000+00:00,2011-10-03 16:56:17.731000+00:00,11120,5000
173691,O_CANCELLED,2011-10-03 16:56:17.731000+00:00,2011-10-03 16:56:17.731000+00:00,11120,5000
173691,O_CREATED,2011-10-03 16:56:17.731000+00:00,2011-10-03 16:56:19.613000+00:00,11120,5000
173691,O_SENT,2011-10-03 16:56:19.613000+00:00,2011-10-03 16:56:19.645000+00:00,11120,5000
173691,W_Call_back_offers,2011-10-03 16:56:19.645000+00:00,2011-10-03 16:56:21.195000+00:00,0,5000
173691,W_Call_back_offers,2011-10-03 16:56:21.195000+00:00,2011-10-03 16:57:16.563000+00:00,0,5000
173691,O_SENT_BACK,2011-10-03 16:57:16.563000+00:00,2011-10-10 10:14:43.775000+00:00,11049,5000
173691,W_Call_back_offers,2011-10-10 10:14:43.775000+00:00,2011-10-10 10:14:45.514000+00:00,11049,5000
